Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402,0.0938
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180846,0.0421974
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01310016,0.03056704
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039132,0.091308
Juvenile sharks,0,0,0,0,0,0,0.000192359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242293,0.000565349
Spurdog,0,0,0,0,0,0.000664365,3.20E-05,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002142791,0.004999846
Large piscivorous sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000398421,0.000929649
Small sharks,0,0,0,0,0,0,0.000160352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534143,0.001246333
Juvenile rays,0,0,0,0,0,0,0.000192359,0,0,3.71E-05,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0.000470961,9.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08016196,0.1870445
Starry ray + others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03066158,0.07154368
Thornback & Spotted ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02287488,0.05337472
Skate + cuckoo ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01062947,0.0248021
"Juvenile Cod(0-2, 0-40cm)",0,0.008871101,0.006656816,0.002015441,0,0,0,0,0.0009112,0.004985069,0,0,0,0,0.01861287,0.04064583,0,0,0,0,0,0,0,0.007337699,0,0.000718416,0.008102,0,0,0,2.98E-04,0.01036341,0,0,0,0,0,0,0,0,0.006272728,0,0,0,0,0,0,0,0.01667502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6969916,1.626314
Cod (adult),0,0,0.01318479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000718416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2976355,0.6944827
"Juvenile Whiting (0-1, 0-20cm)",0.01585224,0.03164825,0.01050061,0.005605649,1.19E-05,0.000936755,0,7.77E-06,0,0.005837534,0.00270204,0.001323,0,0,0.003471204,0.05884377,0,0,0.01608418,0.00234668,0.000914715,0,0,0.01471246,0.01584297,0.007303891,0.02709979,0,0,0,2.98E-04,0.06279007,0,0,0,0.00552706,0,0,0,0,0.01483096,0,0.03116165,0,0,0,0,0,0.01667502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3516306,0.8204713
Whiting (adult),0,0.01501494,0.01404376,0,4.75E-05,0.00375034,0,3.47E-05,0,0.00079687,0,0,0,0,0,0.03161342,0,0,0,0.01149873,0,0,0,0,0,0.007303891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9620274,2.24473
"Juvenile Haddock (0-1, 0-20cm)",0,0.0106693,0.001374313,0.00712857,0,0.000192666,0,0,0,0.002409141,0.00048576,0.000495,0.1036996,0.03983474,0.04426845,0.3138762,0,0,0.005594499,0.009210719,0,0,0,0.001260009,0,0.004110933,0.002110866,0,0,0,0,0.04186005,0,0,0,0,0,0,0,0,0,0,0.02505782,0,0,0,0,0,0.01667502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3948491,0.9213145
Haddock (adult),0,0.00086909,0.002405048,0,0,0.000192666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117334,0,0,0,0,0,0.004110933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564611,3.650759
"Juvenile Saithe (0-3, 0-40cm)",0,0.01609386,0.000665683,0,0,0,0,0,0,0,0,0,0,0,0,0.004516203,0,0,0,0,0,0,0,0,0,0.000231489,3.10E-05,0,0,0,0,0.002113323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2525442,0.5892699
Saithe (adult),0,0.002966893,0.006420606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007263581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04670816,0.1089857
Hake,0,0.002817174,0,0,0,0,0,0,0,0,0,7.20E-05,0,0,0,0,0,0,0,0,0.00021559,0,0,0,0,0.000470961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002630616,0.006138104
Blue whiting,0,0.000599372,0,0,8.67E-06,0.000677652,0,0.000437324,0,0,0,0.000135,0,0,0,0,0,0,0,0.01994678,0.009516734,0,0,0.01104361,0,0,3.10E-05,0,0,0,0.001490709,0.03109023,0,0,0,0,0,0,0,0,0,0.00570157,0,0,0,0.000706197,0,0,0.01651468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558257,0.13026
Norway pout,0.003475553,0.05274476,0,0,0.000180988,0.003122515,0.000320704,0.000124864,0.00482936,0.01958817,0.00019734,0.004203,0,0,0.2364101,0.2139773,0,0,0.5512913,0.1887904,0.003172245,0.0681312,0,0.02968433,0.001810625,0.008237831,0.02014635,0,0,0,0.02770161,0.4143332,0,0,0,0.006368133,0.03520352,0,0,0,0.01243366,0.02525132,0.01038376,0,0,0,0,0,0.01651468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6727962,1.569858
Other gadoids (large),0,0.00482516,0.014237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02224183,0.05501709,0,0,0,0,0,0.007041226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02443918,0.05702476
Other gadoids (small),0,0.0209797,0.005669042,0.001490519,6.45E-06,0.004158925,3.10E-05,6.09E-05,0.006834,0.00830227,0.0047058,0.005129999,0.1036996,0.03983474,0.1654808,0.6091934,0.06672549,0.1749544,0.07153617,0.02123746,0.00143213,0,0,0.003891204,0.07604627,0,0.02129491,0,0,0,0.03362279,0.06299328,0,0.0480852,0,0.03148021,0,0,0,0,0.00370153,0.02394449,0.001544092,0,0,0.002195165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2976514,0.6945198
